,mean(SWEFI),std(SWEFI)
FEDFUNDS,0.04104886665672035,0.0065540569756506175
UNRATE,0.10878285772103034,0.017702795675899146
GS10,0.26878914050550184,0.029666041115603982
Inflation,0.5813791351167474,0.044677522854162315
