,mean(SWEFI),std(SWEFI)
Inflation,0.18230359229802168,0.021587914432167666
GS10,0.1933196581264268,0.015394430646543996
UNRATE,0.22198722431242748,0.019708220348106896
FEDFUNDS,0.40238952526312405,0.030071782530414173
