,mean(SWEFI),std(SWEFI)
HFRXSDV_ROR,0.03154168767173824,0.0061215370561708456
HFRXEMN_ROR,0.04000956477487109,0.0068227096054951945
HFRXM_ROR,0.17306613863439396,0.021054671454347054
HFRXMA_ROR,0.2048327610709584,0.02076138706356624
HFRXMD_ROR,0.5505498478480382,0.02328277005297708
