,Date,MXWO_Last Price,MXWO_Volume,MXWO_SMAVG (15),SPG1200_Last Price,SPG1200_Volume,SPG1200_SMAVG (15),FTAW01_Last Price,MXEU_Last Price,MXEU_Volume,MXEU_SMAVG (15),MXEF_Last Price,MXEF_Volume,MXEF_SMAVG (15),VIX_Last Price,USGG10YR Index_Last Price,DXY Curncy_Last Price,XLK US Equity_Last Price,XLK US Equity_Volume,XLK US Equity_SMAVG (15),XLY US Equity_Last Price,XLY US Equity_Volume,XLY US Equity_SMAVG (15),XLU US Equity_Last Price,XLU US Equity_Volume,XLU US Equity_SMAVG (15),XLE US Equity_Last Price,XLE US Equity_Volume,XLE US Equity_SMAVG (15),XAU BGN Curncy_Last Price,CO1 Comdty_Last Price,CO1 Comdty_Volume,CO1 Comdty_SMAVG (15),MOODCBAA Index_Last Price,SPX Index - Divident_Dividend 12 Month Yld - Gross,SPX Index - PE_Adjusted Price/Earnings ratio,SPX Index - PB_Adjusted Price/Book ratio
0,2000-01-03 00:00:00,1422.18,1372868992.0,1724632832.0,1558.15,5613474816.0,5375503872.0,212.81,132.91,502423872.0,834043136.0,496.22,7780815872.0,12362524672.0,24.21,6.592,100.22,55.4375,938100.0,652640.0,30.125,212900.0,319147.0,27.4531,176700.0,175313.0,26.5625,380300.0,391540.0,289.0,,,,8.27,1.1186,29.9032,5.102
1,2000-01-04 00:00:00,1378.31,2440834048.0,1683127680.0,1506.02,9182066688.0,5367629312.0,206.64,127.72,1165726208.0,835969728.0,500.38,18443679744.0,12507077632.0,27.01,6.497,100.41,52.625,545500.0,663873.0,29.2188,177200.0,330667.0,26.625,93500.0,180620.0,26.0625,722200.0,436693.0,282.25,24.39,32509.0,20795.0,8.21,1.1632,28.7566,4.9064
2,2000-01-05 00:00:00,1359.54,2940431872.0,1681776256.0,1490.07,9834355712.0,5448406528.0,203.87,124.55,1250336640.0,815233408.0,491.09,25465966592.0,13272820736.0,26.41,6.594,100.38,51.8438,1906000.0,743200.0,28.8594,124600.0,337580.0,27.2969,273400.0,198167.0,26.75,337800.0,425393.0,280.0,23.73,30310.0,21003.0,8.29,1.1617,28.8119,4.9158
3,2000-01-06 00:00:00,1344.06,2752588032.0,1683617152.0,1482.29,10999589888.0,5648772096.0,202.76,123.95,1113761408.0,796423296.0,486.04,19404390400.0,13508417536.0,25.73,6.524,100.48,50.125,1670000.0,771307.0,29.1875,135800.0,346580.0,27.25,34500.0,199607.0,27.7812,133100.0,419727.0,281.1,23.62,44662.0,22153.0,8.24,1.1606,28.8394,4.9205
4,2000-01-07 00:00:00,1375.88,3235681024.0,1679376000.0,1511.77,7485317120.0,5587320832.0,206.58,126.76,1533695488.0,812008768.0,492.1,9565228032.0,13118608384.0,21.72,6.515,100.72,51.0,686000.0,789080.0,30.5625,70000.0,350653.0,27.4844,46200.0,201940.0,28.0781,468000.0,446787.0,281.75,23.09,34826.0,22843.0,8.22,1.13,29.6208,5.0538
5,2000-01-10 00:00:00,1391.11,2529957120.0,1704901632.0,1527.61,9595618304.0,5796514816.0,208.94,128.58,1307593984.0,795271104.0,506.69,13054299136.0,12666167296.0,21.71,6.552,100.99,52.9375,1020500.0,830600.0,30.4062,41900.0,296260.0,27.5781,15500.0,171367.0,27.8438,122100.0,391200.0,281.48,23.73,26388.0,23095.0,8.27,1.1182,29.9523,5.1103
6,2000-01-11 00:00:00,1386.34,3070319104.0,1768688896.0,1520.29,9456433152.0,5972315648.0,208.31,127.75,1353080832.0,821017536.0,498.12,15553242112.0,11840432128.0,22.5,6.657,100.56,51.4375,1411300.0,905407.0,30.2344,29600.0,239567.0,27.2812,25700.0,160627.0,27.875,144800.0,348767.0,283.25,24.62,28002.0,23404.0,8.36,1.133,29.561,5.0436
7,2000-01-12 00:00:00,1377.98,2853453056.0,1839134336.0,1513.46,9414712320.0,6221343232.0,207.21,127.63,1258625408.0,840494464.0,500.59,13793323008.0,11884735488.0,22.84,6.703,100.62,51.2188,1983200.0,1012167.0,30.0625,53100.0,199873.0,27.0,36700.0,144573.0,27.75,57300.0,304200.0,282.35,24.81,28455.0,24636.0,8.4,1.1386,29.4314,5.0215
8,2000-01-13 00:00:00,1390.3,3158755072.0,1960341504.0,1524.73,15403150336.0,6887206400.0,208.9,128.43,1520809344.0,891354880.0,508.08,28919388160.0,13162515456.0,21.71,6.63,101.0,51.6875,1193000.0,1071187.0,30.2188,70600.0,167680.0,26.75,139600.0,148240.0,28.2344,149200.0,273793.0,284.25,24.98,22307.0,24241.0,8.38,1.125,29.7896,5.0826
9,2000-01-14 00:00:00,1402.14,3682502912.0,2168805120.0,1539.34,14230540288.0,7767116288.0,210.66,131.57,1775324800.0,967426944.0,515.63,39870115840.0,15436850176.0,19.66,6.679,101.72,52.875,1383900.0,1139500.0,30.1406,102600.0,162680.0,26.9688,45700.0,131453.0,28.0625,35700.0,266547.0,284.2,25.47,8822.0,23883.0,8.42,1.1131,30.0941,5.1368
10,2000-01-17 00:00:00,1408.31,2401971968.0,2258320640.0,1545.81,6611215872.0,7947068416.0,211.8,132.54,1516589824.0,1063099200.0,524.38,12714683392.0,15552036864.0,20.58,6.7135,101.77,53.0156,967350.0,1136993.5,30.0547,78200.0,118180.0,26.9141,45850.0,102576.5,28.23435,73100.0,228523.5,285.5,25.65,16286.0,23997.0,8.445,1.117,30.0941,5.1368
11,2000-01-18 00:00:00,1391.6,3178228992.0,2405056768.0,1528.07,10565619712.0,8409486848.0,209.41,129.5,1642623616.0,1146824832.0,522.65,17051659264.0,15933891584.0,21.5,6.748,101.86,53.1562,550800.0,1134487.0,29.9688,53800.0,73680.0,26.8594,46000.0,73700.0,28.4062,110500.0,190500.0,288.65,26.05,39950.0,25386.0,8.47,1.1209,29.8885,5.1017
12,2000-01-19 00:00:00,1386.18,3068365056.0,2533313024.0,1523.92,9271836672.0,8801883136.0,208.46,129.14,1541644288.0,1229915264.0,511.54,15665518592.0,16438351872.0,21.72,6.732,101.76,53.25,790400.0,1140487.0,29.9062,113800.0,80560.0,26.875,26000.0,68820.0,28.3125,190300.0,199447.0,289.63,25.84,38024.0,26691.0,8.43,1.1208,29.7433,5.1044
13,2000-01-20 00:00:00,1380.78,3475117056.0,2694701312.0,1517.24,8835691520.0,9123205120.0,208.02,128.96,1879014400.0,1322759424.0,510.7,13245053952.0,16703004672.0,21.75,6.788,101.36,53.5625,1098200.0,1174800.0,29.5,153200.0,90680.0,27.0,112500.0,74460.0,28.3125,344800.0,219273.0,288.5,26.1,47963.0,29407.0,8.45,1.1282,29.5323,5.0682
14,2000-01-21 00:00:00,1376.52,3362012928.0,2901539072.0,1509.06,8444423168.0,9662936064.0,207.16,128.44,1747764352.0,1407267584.0,507.49,15306621952.0,17722265600.0,20.82,6.765,101.81,53.625,1434700.0,1157793.0,28.8906,170200.0,101893.0,27.875,201100.0,87413.0,29.0938,483300.0,247613.0,289.1,26.35,46271.0,30861.0,8.42,1.1315,29.4462,5.0534
15,2000-01-24 00:00:00,1357.16,2727974912.0,2991879424.0,1486.06,6733406208.0,9737598976.0,204.24,128.79,1207237376.0,1454255232.0,507.63,11331539968.0,17958981632.0,24.07,6.685,102.2,51.875,568900.0,1145367.0,27.8125,5100.0,100960.0,27.5,64300.0,89160.0,28.0625,296500.0,265060.0,287.6,26.06,37451.0,32148.0,8.36,1.1638,28.6325,4.9138
16,2000-01-25 00:00:00,1352.8,3034297088.0,3031443712.0,1480.51,3883132928.0,9384336384.0,203.56,126.48,1407539200.0,1470376064.0,499.7,4996484096.0,17062501376.0,23.02,6.692,102.41,52.9844,2982400.0,1281653.0,27.9844,63000.0,90967.0,26.8594,56900.0,81173.0,28.0,57800.0,243560.0,287.05,26.54,39688.0,32627.0,8.33,1.1568,28.7743,4.939
17,2000-01-26 00:00:00,1355.46,3022469120.0,3036912896.0,1484.4,9010791424.0,9329431552.0,203.88,127.95,1591205504.0,1493100672.0,501.02,15482470400.0,16396934144.0,23.03,6.664,102.44,51.25,839300.0,1301240.0,28.1875,38100.0,81693.0,26.7344,31400.0,77033.0,27.5625,46900.0,198540.0,286.0,26.13,37181.0,33085.0,8.28,1.1618,28.6688,4.9182
18,2000-01-27 00:00:00,1357.12,3111640064.0,3060849664.0,1484.77,10159760384.0,9273443328.0,204.18,129.78,1471297408.0,1516936448.0,502.35,16255180800.0,16186987520.0,23.54,6.692,103.17,50.75,1238100.0,1256713.0,28.1094,119100.0,81327.0,26.5625,18700.0,60053.0,27.0,1688800.0,288607.0,286.85,25.62,34844.0,32431.0,8.23,1.1667,28.5569,4.9028
19,2000-01-28 00:00:00,1334.47,3378973952.0,3070402560.0,1453.51,10918809600.0,9502343168.0,200.61,129.56,1686612992.0,1527130880.0,499.05,18226827264.0,16764427264.0,26.14,6.658,104.48,48.9375,2457000.0,1309180.0,27.0,12400.0,73100.0,26.4219,28400.0,59647.0,26.6875,33100.0,281940.0,283.25,25.68,22226.0,31591.0,8.26,1.2004,27.7625,4.7677
20,2000-01-31 00:00:00,1338.25,3135927040.0,3110800640.0,1465.81,9581807616.0,9501421568.0,201.4,127.07,1614640768.0,1547600640.0,491.39,14724781056.0,16875792384.0,24.95,6.665,105.13,50.5625,1312300.0,1350933.0,27.2031,10800.0,69153.0,27.6406,414800.0,84220.0,27.3125,101600.0,257513.0,283.5,25.97,38608.0,32405.0,8.36,1.1664,28.4584,4.8926
