Source: Hedge Fund Research Inc. Copyright 2023 HFR Inc. - www.hfr.com

Name,Ticker,Strategy,Substrategy,Region,Currency
HFRX Macro: Systematic Diversified CTA Index,HFRXSDV,,Systematic Diversified,Global,USD
Date,Daily ROR,Index Value
08/04/2021,0.1798%,1666.8
08/03/2021,0.0508%,1663.81
08/02/2021,-0.0322%,1662.97
07/30/2021,-0.0068%,1663.5
07/29/2021,0.1852%,1663.62
07/28/2021,0.1672%,1660.54
07/27/2021,-0.0932%,1657.77
07/26/2021,-0.0775%,1659.31
07/23/2021,0.5614%,1660.6
07/22/2021,0.4976%,1651.33
07/21/2021,0.7727%,1643.16
07/20/2021,-0.0264%,1630.56
07/19/2021,-1.5369%,1630.99
07/16/2021,-0.258%,1656.44
07/15/2021,-0.3889%,1660.73
07/14/2021,0.2628%,1667.21
07/13/2021,0.2311%,1662.84
07/12/2021,0.1616%,1659.01
07/09/2021,0.8844%,1656.33
07/08/2021,-1.2046%,1641.81
07/07/2021,-0.499%,1661.83
07/06/2021,-0.6608%,1670.17
07/05/2021,0.1217%,1681.28
07/02/2021,-0.0302%,1679.23
07/01/2021,0.2481%,1679.74
06/30/2021,-0.2019%,1675.58
06/29/2021,-0.1373%,1678.97
06/28/2021,-0.2461%,1681.28
06/25/2021,0.3533%,1685.43
06/24/2021,0.541%,1679.49
06/23/2021,0.3455%,1670.46
06/22/2021,0.2435%,1664.71
06/21/2021,0.1436%,1660.66
06/18/2021,-1.1606%,1658.28
06/17/2021,-1.2127%,1677.76
06/16/2021,-0.4133%,1698.35
06/15/2021,-0.2294%,1705.4
06/14/2021,0.0252%,1709.32
06/11/2021,-0.3588%,1708.89
06/10/2021,0.1233%,1715.04
06/09/2021,-0.2586%,1712.93
06/08/2021,-0.2295%,1717.37
06/07/2021,0.1985%,1721.32
06/04/2021,0.1202%,1717.91
06/03/2021,-0.2554%,1715.85
06/02/2021,-0.0414%,1720.25
06/01/2021,0.4985%,1720.96
05/31/2021,0.0297%,1712.42
05/28/2021,0.3387%,1711.91
05/27/2021,0.8073%,1706.13
05/26/2021,-0.3963%,1692.47
05/25/2021,0.0452%,1699.2
05/24/2021,-0.119%,1698.44
05/21/2021,0.0278%,1700.46
05/20/2021,0.2908%,1699.99
05/19/2021,-0.911%,1695.06
05/18/2021,0.4353%,1710.64
05/17/2021,-0.0567%,1703.23
05/14/2021,-0.048%,1704.19
05/13/2021,-0.0722%,1705.01
05/12/2021,0.0295%,1706.24
05/11/2021,-0.2587%,1705.74
05/10/2021,0.3747%,1710.16
05/07/2021,0.6815%,1703.78
05/06/2021,0.2458%,1692.25
05/05/2021,0.3345%,1688.1
05/04/2021,-0.243%,1682.47
05/03/2021,-0.4138%,1686.57
04/30/2021,-0.2801%,1693.58
04/29/2021,0.3605%,1698.33
04/28/2021,0.4534%,1692.23
04/27/2021,0.2743%,1684.59
04/26/2021,0.4341%,1679.99
04/23/2021,0.3216%,1672.73
04/22/2021,-0.0064%,1667.36
04/21/2021,0.0904%,1667.47
04/20/2021,-0.6044%,1665.96
04/19/2021,-0.0402%,1676.09
04/16/2021,0.4196%,1676.77
04/15/2021,-0.0585%,1669.76
04/14/2021,0.26%,1670.74
04/13/2021,-0.0776%,1666.41
04/12/2021,-0.1441%,1667.7
04/09/2021,0.2295%,1670.11
04/08/2021,-0.0413%,1666.28
04/07/2021,-0.4708%,1666.97
04/06/2021,0.0289%,1674.86
04/01/2021,0.0902%,1674.37
03/31/2021,0.1944%,1672.86
03/30/2021,0.3713%,1669.62
03/29/2021,0.4234%,1663.44
03/26/2021,0.7534%,1656.43
03/25/2021,-0.1955%,1644.04
03/24/2021,-0.5444%,1647.26
03/23/2021,-0.9544%,1656.28
03/22/2021,-0.3342%,1672.24
03/19/2021,-0.6818%,1677.85
03/18/2021,0.2059%,1689.37
03/17/2021,0.1799%,1685.89
03/16/2021,-0.0109%,1682.87
03/15/2021,-0.0639%,1683.05
03/12/2021,0.6136%,1684.13
03/11/2021,0.6593%,1673.86
03/10/2021,-0.04%,1662.89
03/09/2021,0.2763%,1663.56
03/08/2021,0.0473%,1658.97
03/05/2021,-0.1325%,1658.19
03/04/2021,-0.5266%,1660.39
03/03/2021,0.1991%,1669.18
03/02/2021,-0.1287%,1665.86
03/01/2021,0.1175%,1668.01
02/26/2021,-1.4193%,1666.05
02/25/2021,-0.1095%,1690.04
02/24/2021,0.3886%,1691.89
02/23/2021,0.2184%,1685.34
02/22/2021,-0.0893%,1681.67
02/19/2021,0.5692%,1683.17
02/18/2021,0.0382%,1673.64
02/17/2021,-0.2718%,1673.01
02/16/2021,0.6955%,1677.57
02/15/2021,0.087%,1665.98
02/12/2021,0.0268%,1664.53
02/11/2021,0.1322%,1664.08
02/10/2021,0.2791%,1661.89
02/09/2021,0.3706%,1657.26
02/08/2021,0.5902%,1651.14
02/05/2021,0.5756%,1641.45
02/04/2021,-0.0943%,1632.06
02/03/2021,0.2723%,1633.6
02/02/2021,0.4758%,1629.16
02/01/2021,0.2025%,1621.45
01/29/2021,-0.3388%,1618.17
01/28/2021,-0.1897%,1623.67
01/27/2021,-0.8496%,1626.76
01/26/2021,0.0251%,1640.7
01/25/2021,-0.0333%,1640.29
01/22/2021,-0.4576%,1640.84
01/21/2021,0.2918%,1648.38
01/20/2021,0.2934%,1643.58
01/19/2021,0.5601%,1638.77
01/18/2021,-0.3176%,1629.65
01/15/2021,-0.3514%,1634.84
01/14/2021,0.1924%,1640.6
01/13/2021,0.1769%,1637.45
01/12/2021,0.1966%,1634.56
01/11/2021,-0.7592%,1631.36
01/08/2021,0.3466%,1643.84
01/07/2021,-0.0593%,1638.16
01/06/2021,0.2169%,1639.13
01/05/2021,0.3219%,1635.58
01/04/2021,0.1082%,1630.34
12/31/2020,0.0967%,1628.57
12/30/2020,0.6929%,1627
12/29/2020,0.6658%,1615.81
12/28/2020,0.2756%,1605.12
12/24/2020,0.0358%,1600.71
12/23/2020,0.1718%,1600.14
12/22/2020,-0.2433%,1597.39
12/21/2020,-0.542%,1601.29
12/18/2020,-0.1443%,1610.01
12/17/2020,0.7156%,1612.34
12/16/2020,0.2044%,1600.88
12/15/2020,0.3803%,1597.62
12/14/2020,0.0879%,1591.57
12/11/2020,-0.1523%,1590.17
12/10/2020,0.3043%,1592.59
12/09/2020,0.0188%,1587.76
12/08/2020,0.0386%,1587.46
12/07/2020,-0.0693%,1586.85
12/04/2020,0.3083%,1587.95
12/03/2020,0.4894%,1583.07
12/02/2020,0.1982%,1575.36
12/01/2020,0.3523%,1572.25
11/30/2020,-0.5731%,1566.73
11/27/2020,0.4832%,1575.76
11/26/2020,-0.0183%,1568.18
11/25/2020,0.0002%,1568.46
11/24/2020,0.4785%,1568.46
11/23/2020,0.2295%,1560.99
11/20/2020,0.0928%,1557.42
11/19/2020,-0.1738%,1555.97
11/18/2020,0.0405%,1558.68
11/17/2020,0.1483%,1558.05
11/16/2020,0.7209%,1555.75
11/13/2020,0.4665%,1544.61
11/12/2020,0.4494%,1537.44
11/11/2020,-0.3916%,1530.56
11/10/2020,-0.6927%,1536.58
11/09/2020,-1.5956%,1547.3
11/06/2020,0.0046%,1572.38
11/05/2020,0.4917%,1572.31
11/04/2020,0.5354%,1564.62
11/03/2020,-0.0054%,1556.29
11/02/2020,0.0474%,1556.37
10/30/2020,-0.4948%,1555.63
10/29/2020,-0.9487%,1563.37
10/28/2020,0.3591%,1578.34
10/27/2020,-0.0055%,1572.69
10/26/2020,0.0589%,1572.78
10/23/2020,0.0231%,1571.85
10/22/2020,-0.3351%,1571.49
10/21/2020,-0.1771%,1576.78
10/20/2020,0.0388%,1579.57
10/19/2020,-0.198%,1578.96
10/16/2020,0.0661%,1582.09
10/15/2020,0.0364%,1581.05
10/14/2020,0.0458%,1580.47
10/13/2020,0.2221%,1579.75
10/12/2020,0.1203%,1576.25
