Source: Hedge Fund Research Inc. Copyright 2023 HFR Inc. - www.hfr.com

Name,Ticker,Strategy,Substrategy,Region,Currency
HFRX Macro/CTA Index,HFRXM,,Macro,Global,USD
Date,Daily ROR,Index Value
06/20/2022,-0.0589%,1275.29
06/17/2022,-0.1814%,1276.05
06/16/2022,-0.206%,1278.37
06/15/2022,-0.2873%,1281.01
06/14/2022,0.4276%,1284.7
06/13/2022,0.6073%,1279.23
06/10/2022,0.5611%,1271.5
06/09/2022,0.3233%,1264.41
06/08/2022,0.3009%,1260.33
06/07/2022,0.4753%,1256.55
06/06/2022,0.1106%,1250.61
06/03/2022,0.0328%,1249.23
06/02/2022,0.16%,1248.82
06/01/2022,0.2278%,1246.82
05/31/2022,0.3841%,1243.99
05/30/2022,-0.1961%,1239.23
05/27/2022,-0.1867%,1241.66
05/26/2022,0.0508%,1243.99
05/25/2022,0.1031%,1243.35
05/24/2022,-0.1009%,1242.07
05/23/2022,-0.3033%,1243.33
05/20/2022,-0.1789%,1247.11
05/19/2022,-0.2122%,1249.35
05/18/2022,0.071%,1252
05/17/2022,-0.1739%,1251.11
05/16/2022,-0.045%,1253.29
05/13/2022,0.068%,1253.86
05/12/2022,-0.1773%,1253.01
05/11/2022,-0.1793%,1255.23
05/10/2022,-0.4412%,1257.49
05/09/2022,0.0373%,1263.06
05/06/2022,0.1348%,1262.59
05/05/2022,0.2248%,1260.89
05/04/2022,0.1012%,1258.06
05/03/2022,0.0113%,1256.79
05/02/2022,0.1058%,1256.65
04/29/2022,0.0015%,1255.32
04/28/2022,0.5796%,1255.3
04/27/2022,0.3044%,1248.06
04/26/2022,-0.388%,1244.28
04/25/2022,-0.4712%,1249.12
04/22/2022,-0.124%,1255.04
04/21/2022,0.0893%,1256.6
04/20/2022,-0.2282%,1255.47
04/19/2022,0.801%,1258.35
04/14/2022,0.0013%,1248.35
04/13/2022,-0.1241%,1248.33
04/12/2022,-0.0319%,1249.88
04/11/2022,0.3606%,1250.28
04/08/2022,0.2361%,1245.79
04/07/2022,-0.1382%,1242.86
04/06/2022,0.1494%,1244.58
04/05/2022,0.3809%,1242.72
04/04/2022,0.2036%,1238
04/01/2022,0.2937%,1235.49
03/31/2022,-0.0953%,1231.87
03/30/2022,-0.2505%,1233.05
03/29/2022,-0.1411%,1236.14
03/28/2022,0.2357%,1237.89
03/25/2022,0.3734%,1234.98
03/24/2022,0.226%,1230.38
03/23/2022,0.1127%,1227.61
03/22/2022,0.5885%,1226.23
03/21/2022,0.5641%,1219.05
03/18/2022,0.2968%,1212.22
03/17/2022,-0.2487%,1208.63
03/16/2022,-0.2304%,1211.64
03/15/2022,-0.1173%,1214.44
03/14/2022,0.2201%,1215.87
03/11/2022,0.3139%,1213.2
03/10/2022,-0.182%,1209.4
03/09/2022,0.1954%,1211.61
03/08/2022,0.4036%,1209.24
03/07/2022,0.5421%,1204.38
03/04/2022,-0.0534%,1197.89
03/03/2022,0.5685%,1198.53
03/02/2022,0.4868%,1191.75
03/01/2022,-0.743%,1185.98
02/28/2022,-0.9169%,1194.86
02/25/2022,0.376%,1205.91
02/24/2022,-0.767%,1201.39
02/23/2022,0.1789%,1210.68
02/22/2022,0.1691%,1208.52
02/21/2022,-0.088%,1206.48
02/18/2022,-0.1528%,1207.54
02/17/2022,-0.453%,1209.39
02/16/2022,-0.2291%,1214.89
02/15/2022,0.2827%,1217.68
02/14/2022,-0.0382%,1214.25
02/11/2022,0.0093%,1214.71
02/10/2022,0.4973%,1214.6
02/09/2022,-0.0873%,1208.59
02/08/2022,0.2879%,1209.65
02/07/2022,0.2053%,1206.17
02/04/2022,0.0222%,1203.7
02/03/2022,0.1702%,1203.43
02/02/2022,0.0764%,1201.39
