Source: Hedge Fund Research Inc. Copyright 2023 HFR Inc. - www.hfr.com

Name,Ticker,Strategy,Substrategy,Region,Currency
HFRX Market Directional Index,HFRXMD,,Composite,Global,USD
Date,Daily ROR,Index Value
02/27/2023,-0.0541%,1275.6
02/24/2023,-0.4824%,1276.3
02/23/2023,0.3051%,1282.48
02/22/2023,-0.4127%,1278.58
02/21/2023,-0.5232%,1283.88
02/20/2023,0.0011%,1290.63
02/17/2023,-0.2494%,1290.62
02/16/2023,-0.09%,1293.85
02/15/2023,-0.0916%,1295.01
02/14/2023,-0.032%,1296.2
02/13/2023,0.2817%,1296.61
02/10/2023,-0.3029%,1292.97
02/09/2023,-0.1933%,1296.9
02/08/2023,-0.0488%,1299.41
02/07/2023,-0.1593%,1300.05
02/06/2023,-0.3781%,1302.12
02/03/2023,-0.2455%,1307.06
02/02/2023,0.5561%,1310.28
02/01/2023,0.5034%,1303.03
01/31/2023,0.2061%,1296.51
01/30/2023,-0.458%,1293.84
01/27/2023,0.1429%,1299.79
01/26/2023,0.2716%,1297.94
01/25/2023,-0.0737%,1294.42
01/24/2023,0.0948%,1295.38
01/23/2023,0.2745%,1294.15
01/20/2023,0.2925%,1290.61
01/19/2023,-0.3457%,1286.85
01/18/2023,0.1868%,1291.31
01/17/2023,0.1968%,1288.9
01/16/2023,0.0031%,1286.37
01/13/2023,0.3177%,1286.33
01/12/2023,0.3219%,1282.26
01/11/2023,0.2753%,1278.14
01/10/2023,0.0236%,1274.63
01/09/2023,0.4836%,1274.33
01/06/2023,0.4089%,1268.2
01/05/2023,-0.1325%,1263.03
01/04/2023,0.3144%,1264.71
01/03/2023,0.4627%,1260.75
01/02/2023,0.1818%,1254.94
12/30/2022,-0.0358%,1252.66
12/29/2022,0.0863%,1253.11
12/28/2022,-0.2424%,1252.03
12/27/2022,-0.0459%,1255.07
12/23/2022,0.0218%,1255.65
12/22/2022,-0.2504%,1255.38
12/21/2022,0.4698%,1258.53
12/20/2022,-0.1294%,1252.64
12/19/2022,-0.4681%,1254.27
12/16/2022,-0.3036%,1260.16
12/15/2022,-0.5914%,1264
12/14/2022,-0.1256%,1271.52
12/13/2022,0.6377%,1273.12
12/12/2022,0.0179%,1265.05
12/09/2022,-0.2522%,1264.83
12/08/2022,0.3387%,1268.03
12/07/2022,-0.0132%,1263.75
12/06/2022,-0.4464%,1263.91
12/05/2022,-0.2368%,1269.58
12/02/2022,0.3733%,1272.59
12/01/2022,0.3945%,1267.86
11/30/2022,0.666%,1262.88
11/29/2022,0.2356%,1254.52
11/28/2022,-0.0692%,1251.57
11/25/2022,0.3237%,1252.44
11/24/2022,0.0263%,1248.4
11/23/2022,0.2628%,1248.07
11/22/2022,0.3748%,1244.8
11/21/2022,-0.1687%,1240.15
11/18/2022,0.1822%,1242.25
11/17/2022,-0.1818%,1239.99
11/16/2022,-0.1699%,1242.25
11/15/2022,0.098%,1244.36
11/14/2022,0.124%,1243.14
11/11/2022,0.4637%,1241.6
11/10/2022,0.8536%,1235.87
11/09/2022,-0.0662%,1225.41
11/08/2022,0.2194%,1226.22
11/07/2022,0.1299%,1223.54
11/04/2022,-0.0428%,1221.95
11/03/2022,-0.3007%,1222.47
11/02/2022,-0.5474%,1226.16
11/01/2022,-0.0414%,1232.91
10/31/2022,0.0603%,1233.42
10/28/2022,0.2969%,1232.68
10/27/2022,0.3128%,1229.03
10/26/2022,-0.0331%,1225.2
10/25/2022,0.5764%,1225.6
10/24/2022,-0.0145%,1218.58
10/21/2022,-0.1877%,1218.75
10/20/2022,-0.1294%,1221.05
10/19/2022,-0.1612%,1222.63
10/18/2022,0.4773%,1224.6
10/17/2022,0.3047%,1218.78
10/14/2022,-0.0965%,1215.08
10/13/2022,0.2659%,1216.26
10/12/2022,-0.0317%,1213.03
10/11/2022,-0.64%,1213.41
10/10/2022,-0.2374%,1221.23
10/07/2022,-0.8408%,1224.13
10/06/2022,-0.2193%,1234.51
10/05/2022,0.018%,1237.23
10/04/2022,1.0398%,1237.01
10/03/2022,0.1792%,1224.28
09/30/2022,-0.1536%,1222.09
09/29/2022,-0.488%,1223.97
09/28/2022,0.0159%,1229.97
09/27/2022,-0.0969%,1229.77
09/26/2022,-0.6651%,1230.96
09/23/2022,-0.81%,1239.21
09/22/2022,-0.4395%,1249.33
09/21/2022,-0.5129%,1254.84
09/20/2022,-0.2683%,1261.31
09/19/2022,0.0019%,1264.7
09/16/2022,-0.4884%,1264.68
09/15/2022,-0.2023%,1270.89
09/14/2022,-0.0338%,1273.46
09/13/2022,-0.6717%,1273.89
09/12/2022,0.2593%,1282.51
09/09/2022,0.4625%,1279.19
09/08/2022,0.2607%,1273.3
09/07/2022,-0.0246%,1269.99
09/06/2022,-0.2548%,1270.31
09/05/2022,0.0558%,1273.55
09/02/2022,-0.0117%,1272.84
09/01/2022,-0.2458%,1272.99
08/31/2022,-0.1504%,1276.13
