Source: Hedge Fund Research Inc. Copyright 2023 HFR Inc. - www.hfr.com

Name,Ticker,Strategy,Substrategy,Region,Currency
HFRX ED: Merger Arbitrage Index,HFRXMA,,Merger Arbitrage,Global,USD
Date,Daily ROR,Index Value
09/13/2022,-0.2589%,1962.69
09/12/2022,-0.0433%,1967.79
09/09/2022,0.2948%,1968.64
09/08/2022,0.5232%,1962.85
09/07/2022,0.5126%,1952.63
09/06/2022,-0.2384%,1942.68
09/05/2022,-0.0316%,1947.32
09/02/2022,-0.0452%,1947.94
09/01/2022,-0.0657%,1948.82
08/31/2022,-0.129%,1950.1
08/30/2022,-0.0037%,1952.62
08/29/2022,-0.1291%,1952.69
08/26/2022,-0.0912%,1955.21
08/25/2022,0.057%,1957
08/24/2022,0.1898%,1955.88
08/23/2022,-0.2572%,1952.18
08/22/2022,-0.0881%,1957.21
08/19/2022,-0.0679%,1958.94
08/18/2022,-0.0222%,1960.27
08/17/2022,-0.0335%,1960.7
08/16/2022,0.1763%,1961.36
08/15/2022,0.3128%,1957.91
08/12/2022,0.0149%,1951.8
08/11/2022,-0.1334%,1951.51
08/10/2022,0.2006%,1954.12
08/09/2022,0.1178%,1950.21
08/08/2022,-0.0196%,1947.91
08/05/2022,0.0126%,1948.29
08/04/2022,-0.0398%,1948.05
08/03/2022,1.3592%,1948.82
08/02/2022,0.0988%,1922.69
08/01/2022,-0.1479%,1920.79
07/29/2022,-0.1381%,1923.64
07/28/2022,0.0761%,1926.3
07/27/2022,0.2269%,1924.83
07/26/2022,-0.1431%,1920.48
07/25/2022,0.07%,1923.23
07/22/2022,-0.075%,1921.88
07/21/2022,-0.1616%,1923.32
07/20/2022,0.0964%,1926.44
07/19/2022,0.5298%,1924.58
07/18/2022,0.1205%,1914.44
07/15/2022,1.1201%,1912.14
07/14/2022,0.0482%,1890.96
07/13/2022,0.1858%,1890.05
07/12/2022,-0.1204%,1886.54
07/11/2022,-0.7106%,1888.82
07/08/2022,-0.0986%,1902.33
07/07/2022,0.3414%,1904.21
07/06/2022,-0.348%,1897.73
07/05/2022,0.0621%,1904.36
07/04/2022,0.1166%,1903.18
07/01/2022,0.114%,1900.96
06/30/2022,-0.1583%,1898.8
06/29/2022,-0.0152%,1901.81
06/28/2022,-0.089%,1902.1
06/27/2022,0.1544%,1903.79
06/24/2022,1.4602%,1900.85
06/23/2022,0.2603%,1873.5
06/22/2022,-0.0363%,1868.63
06/21/2022,1.0093%,1869.31
06/20/2022,0.7382%,1850.63
06/17/2022,0.7404%,1837.07
06/16/2022,-1.4282%,1823.57
06/15/2022,0.2457%,1849.99
06/14/2022,-0.7287%,1845.46
06/13/2022,-1.843%,1859.01
06/10/2022,-0.5634%,1893.91
06/09/2022,-0.5312%,1904.64
06/08/2022,-0.2656%,1914.81
06/07/2022,-0.1372%,1919.91
06/06/2022,-0.1723%,1922.55
06/03/2022,-0.0044%,1925.87
06/02/2022,0.252%,1925.95
06/01/2022,-0.2653%,1921.11
05/31/2022,-0.1073%,1926.22
05/30/2022,0.5978%,1928.29
05/27/2022,0.5063%,1916.83
05/26/2022,0.5947%,1907.18
05/25/2022,0.1125%,1895.9
05/24/2022,-0.3101%,1893.77
05/23/2022,0.3859%,1899.66
05/20/2022,0.0299%,1892.36
05/19/2022,0.0499%,1891.79
05/18/2022,-0.8146%,1890.85
05/17/2022,1.5426%,1906.38
05/16/2022,-0.2614%,1877.42
05/13/2022,-0.0489%,1882.34
05/12/2022,-0.5276%,1883.26
05/11/2022,-0.3232%,1893.25
05/10/2022,-1.4439%,1899.39
05/09/2022,-1.1326%,1927.22
05/06/2022,-0.2385%,1949.29
05/05/2022,-0.1053%,1953.95
05/04/2022,-0.1607%,1956.01
05/03/2022,-0.6949%,1959.16
05/02/2022,-0.0363%,1972.87
04/29/2022,-0.0947%,1973.59
04/28/2022,0.0672%,1975.46
04/27/2022,-0.1531%,1974.13
04/26/2022,-0.4599%,1977.16
04/25/2022,-0.0328%,1986.29
04/22/2022,-0.0629%,1986.94
04/21/2022,-0.0782%,1988.19
04/20/2022,0.004%,1989.75
04/19/2022,0.0424%,1989.67
04/14/2022,-0.0044%,1988.83
04/13/2022,0.0919%,1988.91
04/12/2022,-0.0702%,1987.09
04/11/2022,-0.096%,1988.49
04/08/2022,-0.0112%,1990.4
04/07/2022,0.0743%,1990.62
04/06/2022,-0.0889%,1989.14
04/05/2022,0.0252%,1990.91
04/04/2022,0.0213%,1990.41
04/01/2022,0.1507%,1989.99
03/31/2022,0.1907%,1986.99
03/30/2022,-0.0844%,1983.21
03/29/2022,0.2234%,1984.88
03/28/2022,-0.0581%,1980.46
03/25/2022,0.1719%,1981.61
03/24/2022,0.083%,1978.21
03/23/2022,0.0161%,1976.57
03/22/2022,0.2167%,1976.25
03/21/2022,0.0178%,1971.98
03/18/2022,-0.1608%,1971.63
03/17/2022,0.0986%,1974.8
03/16/2022,-0.0113%,1972.86
03/15/2022,0.1385%,1973.08
03/14/2022,-0.1429%,1970.35
03/11/2022,-0.1378%,1973.17
03/10/2022,-0.0456%,1975.89
03/09/2022,0.4367%,1976.79
03/08/2022,-0.0394%,1968.2
03/07/2022,-0.5123%,1968.98
03/04/2022,-0.3343%,1979.12
03/03/2022,-0.1093%,1985.75
03/02/2022,0.187%,1987.93
03/01/2022,-0.0576%,1984.22
02/28/2022,0.1151%,1985.36
02/25/2022,0.5688%,1983.08
02/24/2022,-0.0565%,1971.86
02/23/2022,0.0367%,1972.98
02/22/2022,-0.0105%,1972.25
02/21/2022,0.0954%,1972.46
02/18/2022,-0.0188%,1970.58
02/17/2022,-0.05%,1970.95
02/16/2022,-0.1206%,1971.94
02/15/2022,0.1423%,1974.32
02/14/2022,-0.2845%,1971.51
02/11/2022,0.0544%,1977.14
02/10/2022,0.2039%,1976.06
02/09/2022,0.2221%,1972.04
02/08/2022,0.0958%,1967.67
02/07/2022,0.0339%,1965.79
02/04/2022,0.0679%,1965.12
02/03/2022,-0.1514%,1963.79
02/02/2022,-0.0007%,1966.77
02/01/2022,0.4073%,1966.78
01/31/2022,0.3202%,1958.8
01/28/2022,0.2905%,1952.55
01/27/2022,0.471%,1946.89
01/26/2022,-0.1258%,1937.77
01/25/2022,-0.5833%,1940.21
01/24/2022,-0.2554%,1951.59
01/21/2022,-0.1426%,1956.59
01/20/2022,0.2449%,1959.38
01/19/2022,-0.0354%,1954.59
01/18/2022,-0.4548%,1955.29
01/17/2022,-0.1907%,1964.22
01/14/2022,-0.0882%,1967.98
01/13/2022,0.0059%,1969.71
01/12/2022,-0.1254%,1969.6
01/11/2022,-0.0734%,1972.07
01/10/2022,-0.0316%,1973.52
01/07/2022,-0.0877%,1974.14
01/06/2022,-0.0787%,1975.87
01/05/2022,0.0433%,1977.43
01/04/2022,0.0116%,1976.57
01/03/2022,0.0083%,1976.34
12/31/2021,0.0623%,1976.18
12/30/2021,0.1003%,1974.95
12/29/2021,0.026%,1972.97
12/28/2021,-0.0212%,1972.46
12/27/2021,0.0096%,1972.88
12/24/2021,-0.0044%,1972.69
12/23/2021,-0.0476%,1972.77
12/22/2021,0.4526%,1973.71
12/21/2021,-0.0503%,1964.82
12/20/2021,-0.0115%,1965.81
12/17/2021,-0.0118%,1966.03
12/16/2021,-0.0167%,1966.27
12/15/2021,-0.2552%,1966.6
12/14/2021,-0.0777%,1971.63
12/13/2021,-0.0866%,1973.16
12/10/2021,-0.0672%,1974.87
12/09/2021,0.0261%,1976.2
12/08/2021,0.0699%,1975.68
12/07/2021,0.1463%,1974.3
12/06/2021,0.1236%,1971.42
12/03/2021,-0.0683%,1968.99
12/02/2021,-0.1398%,1970.33
12/01/2021,0.1523%,1973.09
11/30/2021,0.034%,1970.09
11/29/2021,-0.2017%,1969.42
11/26/2021,0.0067%,1973.4
11/25/2021,0.0223%,1973.27
11/24/2021,0.0131%,1972.83
11/23/2021,0.0515%,1972.57
11/22/2021,0.0772%,1971.56
11/19/2021,-0.1557%,1970.03
11/18/2021,-0.1333%,1973.11
11/17/2021,0.1247%,1975.74
11/16/2021,-0.0956%,1973.28
11/15/2021,0.4373%,1975.17
11/12/2021,0.1169%,1966.57
11/11/2021,0.0462%,1964.27
11/10/2021,0.025%,1963.36
11/09/2021,0.0238%,1962.87
11/08/2021,-0.387%,1962.41
11/05/2021,0.1219%,1970.03
11/04/2021,-0.1641%,1967.63
11/03/2021,0.0213%,1970.87
11/02/2021,-0.0337%,1970.45
11/01/2021,0.042%,1971.11
10/29/2021,-0.0239%,1970.29
10/28/2021,0.1327%,1970.76
10/27/2021,0.2869%,1968.15
10/26/2021,-0.2903%,1962.52
10/25/2021,-0.1227%,1968.23
10/22/2021,-0.0775%,1970.65
10/21/2021,0.151%,1972.17
10/20/2021,0.0378%,1969.2
10/19/2021,0.0119%,1968.46
10/18/2021,-0.1715%,1968.22
10/15/2021,-0.0231%,1971.6
10/14/2021,-0.012%,1972.06
10/13/2021,-0.0065%,1972.3
10/12/2021,0.0428%,1972.42
10/11/2021,-0.0734%,1971.58
10/08/2021,0.0024%,1973.03
10/07/2021,0.1579%,1972.98
10/06/2021,-0.0995%,1969.87
10/05/2021,0.048%,1971.83
10/04/2021,-0.1247%,1970.89
10/01/2021,0.3174%,1973.35
09/30/2021,-0.0504%,1967.1
09/29/2021,-0.0611%,1968.09
09/28/2021,-0.0687%,1969.3
09/27/2021,0.0249%,1970.65
09/24/2021,0.0645%,1970.16
09/23/2021,-0.0646%,1968.89
09/22/2021,0.0091%,1970.16
09/21/2021,0.0993%,1969.99
09/20/2021,-0.0427%,1968.03
09/17/2021,0.0295%,1968.87
09/16/2021,-0.0159%,1968.29
09/15/2021,-0.0284%,1968.6
09/14/2021,-0.0848%,1969.16
09/13/2021,0.2036%,1970.83
09/10/2021,0.1684%,1966.83
09/09/2021,-0.0273%,1963.52
09/08/2021,0.0266%,1964.06
09/07/2021,-0.4642%,1963.54
09/06/2021,0.0016%,1972.69
09/03/2021,-0.0097%,1972.66
09/02/2021,0.1913%,1972.85
09/01/2021,0.2464%,1969.08
08/31/2021,-0.0997%,1964.24
08/30/2021,-0.1459%,1966.2
08/27/2021,0.0577%,1969.08
08/26/2021,0.0421%,1967.94
