Source: Hedge Fund Research Inc. Copyright 2023 HFR Inc. - www.hfr.com

Name,Ticker,Strategy,Substrategy,Region,Currency
HFRX EH: Equity Market Neutral Index,HFRXEMN,,Equity Market Neutral,Global,USD
Date,Daily ROR,Index Value
01/31/2023,-0.0064%,925.4
01/30/2023,0.1298%,925.46
01/27/2023,0.0232%,924.26
01/26/2023,0.1326%,924.05
01/25/2023,-0.0248%,922.83
01/24/2023,0.1069%,923.05
01/23/2023,0.025%,922.07
01/20/2023,-0.2037%,921.84
01/19/2023,0.0381%,923.72
01/18/2023,-0.2183%,923.37
01/17/2023,0.2294%,925.39
01/16/2023,-0.0353%,923.27
01/13/2023,0.0435%,923.6
01/12/2023,-0.1154%,923.2
01/11/2023,-0.1367%,924.26
01/10/2023,-0.1411%,925.53
01/09/2023,-0.0373%,926.83
01/06/2023,0.1462%,927.18
01/05/2023,-0.0016%,925.83
01/04/2023,-0.1968%,925.84
01/03/2023,0.1377%,927.67
01/02/2023,-0.0354%,926.39
12/30/2022,-0.0068%,926.72
12/29/2022,-0.056%,926.78
12/28/2022,0.0471%,927.3
12/27/2022,0.0488%,926.87
12/23/2022,0.0221%,926.41
12/22/2022,-0.022%,926.21
12/21/2022,0.2484%,926.41
12/20/2022,0.0499%,924.12
12/19/2022,0.2485%,923.66
12/16/2022,0.1214%,921.37
12/15/2022,0.0473%,920.25
12/14/2022,0.1173%,919.81
12/13/2022,0.08%,918.74
12/12/2022,0.249%,918
12/09/2022,-0.0042%,915.72
12/08/2022,-0.0026%,915.76
12/07/2022,0.007%,915.79
12/06/2022,0.1804%,915.72
12/05/2022,-0.0398%,914.07
12/02/2022,0.0536%,914.44
12/01/2022,-0.2093%,913.95
11/30/2022,-0.0965%,915.86
11/29/2022,0.2024%,916.75
11/28/2022,-0.0065%,914.9
11/25/2022,0.1951%,914.96
11/24/2022,-0.0625%,913.17
11/23/2022,0.0271%,913.74
11/22/2022,0.2794%,913.5
11/21/2022,-0.1249%,910.95
11/18/2022,0.2227%,912.09
11/17/2022,-0.0087%,910.06
11/16/2022,0.4008%,910.14
11/15/2022,0.184%,906.51
11/14/2022,0.0538%,904.84
11/11/2022,-0.3091%,904.36
11/10/2022,-0.1151%,907.16
11/09/2022,-0.3417%,908.21
11/08/2022,-0.2311%,911.32
11/07/2022,-0.1169%,913.43
11/04/2022,-0.3072%,914.5
11/03/2022,-0.0144%,917.32
11/02/2022,0.0533%,917.45
11/01/2022,-0.1309%,916.96
10/31/2022,0.0143%,918.16
10/28/2022,0.0474%,918.03
10/27/2022,-0.0549%,917.6
10/26/2022,-0.1698%,918.1
10/25/2022,-0.0415%,919.66
10/24/2022,0.0389%,920.04
10/21/2022,0.1653%,919.69
10/20/2022,-0.0913%,918.17
10/19/2022,0.0308%,919.01
10/18/2022,0.0153%,918.73
10/17/2022,-0.0077%,918.59
10/14/2022,-0.0223%,918.66
10/13/2022,0.1821%,918.86
10/12/2022,0.0458%,917.19
10/11/2022,-0.0834%,916.77
10/10/2022,-0.0362%,917.54
10/07/2022,0.2659%,917.87
10/06/2022,-0.0135%,915.43
10/05/2022,0.0813%,915.56
10/04/2022,-0.0109%,914.81
10/03/2022,0.0184%,914.91
09/30/2022,0.0122%,914.75
09/29/2022,0.1551%,914.63
09/28/2022,0.0137%,913.22
09/27/2022,-0.0824%,913.09
09/26/2022,-0.0778%,913.85
09/23/2022,0.0442%,914.56
09/22/2022,0.2256%,914.15
09/21/2022,0.039%,912.1
09/20/2022,0.3271%,911.74
09/19/2022,0.045%,908.77
09/16/2022,-0.0879%,908.36
09/15/2022,-0.0147%,909.16
09/14/2022,-0.1544%,909.29
09/13/2022,0.0573%,910.7
09/12/2022,-0.0696%,910.18
09/09/2022,-0.0045%,910.81
09/08/2022,0.0463%,910.85
09/07/2022,0.1416%,910.43
09/06/2022,0.1669%,909.14
09/05/2022,-0.0207%,907.63
09/02/2022,0.2109%,907.82
09/01/2022,-0.0137%,905.91
08/31/2022,-0.0363%,906.03
08/30/2022,0.0003%,906.36
08/29/2022,-0.0926%,906.36
08/26/2022,0.0637%,907.2
08/25/2022,0.0322%,906.62
08/24/2022,-0.1251%,906.33
08/23/2022,0.0121%,907.46
08/22/2022,-0.0805%,907.35
08/19/2022,0.1628%,908.08
08/18/2022,-0.1064%,906.61
08/17/2022,-0.0661%,907.57
08/16/2022,-0.0101%,908.17
08/15/2022,0.0332%,908.27
08/12/2022,0.119%,907.96
08/11/2022,0.1391%,906.89
08/10/2022,0.0307%,905.62
08/09/2022,-0.1201%,905.35
08/08/2022,-0.1072%,906.44
08/05/2022,0.1046%,907.41
08/04/2022,-0.0336%,906.46
08/03/2022,-0.0188%,906.76
08/02/2022,-0.0703%,906.93
08/01/2022,-0.0528%,907.57
07/29/2022,-0.207%,908.05
07/28/2022,0.2453%,909.94
07/27/2022,0.0559%,907.71
07/26/2022,-0.0671%,907.2
07/25/2022,-0.0416%,907.81
07/22/2022,-0.1804%,908.19
07/21/2022,0.1007%,909.83
07/20/2022,0.1952%,908.91
07/19/2022,0.2117%,907.14
07/18/2022,0.0006%,905.23
07/15/2022,0.2188%,905.22
07/14/2022,0.0926%,903.25
07/13/2022,0.0249%,902.41
07/12/2022,0.0617%,902.19
07/11/2022,-0.0682%,901.63
07/08/2022,0.2249%,902.25
07/07/2022,0.0536%,900.22
07/06/2022,-0.1359%,899.74
07/05/2022,-0.1708%,900.96
07/04/2022,-0.1118%,902.5
07/01/2022,-0.031%,903.51
06/30/2022,-0.1885%,903.8
06/29/2022,-0.0927%,905.5
06/28/2022,0.1477%,906.34
06/27/2022,0.0044%,905.01
06/24/2022,-0.3121%,904.97
06/23/2022,-0.3481%,907.8
06/22/2022,0.013%,910.97
06/21/2022,0.2195%,910.85
06/20/2022,-0.0868%,908.86
06/17/2022,-0.2961%,909.65
06/16/2022,-0.1948%,912.35
06/15/2022,-2.1333%,914.13
06/14/2022,0.0238%,934.06
06/13/2022,-0.0847%,933.83
06/10/2022,0.0052%,934.62
06/09/2022,-0.1138%,934.58
06/08/2022,-0.0033%,935.64
06/07/2022,0.1527%,935.67
06/06/2022,0.073%,934.25
06/03/2022,-0.0151%,933.56
06/02/2022,0.0291%,933.7
06/01/2022,-0.0359%,933.43
05/31/2022,0.0018%,933.77
05/30/2022,-0.0473%,933.75
05/27/2022,0.0469%,934.19
05/26/2022,0.0553%,933.76
05/25/2022,0.0781%,933.24
05/24/2022,-0.0074%,932.51
05/23/2022,-0.0705%,932.58
05/20/2022,-0.0799%,933.24
05/19/2022,-0.0046%,933.98
05/18/2022,-0.0409%,934.03
05/17/2022,0.115%,934.41
05/16/2022,-0.0481%,933.33
05/13/2022,0.1623%,933.78
05/12/2022,-0.0263%,932.27
05/11/2022,0.1181%,932.52
05/10/2022,0.1347%,931.42
05/09/2022,-0.1059%,930.16
05/06/2022,0.0701%,931.15
05/05/2022,-0.1066%,930.5
05/04/2022,0.0431%,931.49
05/03/2022,-0.3119%,931.09
05/02/2022,0.1814%,934
04/29/2022,0.0141%,932.31
04/28/2022,0.1633%,932.18
04/27/2022,-0.0603%,930.66
04/26/2022,0.0804%,931.22
04/25/2022,-0.0054%,930.47
04/22/2022,0.104%,930.52
04/21/2022,0.067%,929.56
04/20/2022,0.0052%,928.93
04/19/2022,0.1891%,928.89
04/14/2022,-0.019%,927.13
04/13/2022,0.3726%,927.31
04/12/2022,0.0742%,923.87
04/11/2022,0.0324%,923.18
04/08/2022,0.0424%,922.88
04/07/2022,-0.1063%,922.49
04/06/2022,-0.0767%,923.47
04/05/2022,-0.1958%,924.18
04/04/2022,-0.0627%,925.99
04/01/2022,-0.0345%,926.57
03/31/2022,-0.0878%,926.89
03/30/2022,0.0204%,927.71
03/29/2022,-0.3324%,927.52
03/28/2022,-0.0481%,930.61
03/25/2022,0.2357%,931.06
03/24/2022,-0.0453%,928.87
03/23/2022,-0.0006%,929.29
03/22/2022,0.1418%,929.3
