,Date Time,Tick Number,Open,High,Low,Close,Cumulative Volume,Cumulative Buy Volume,Cumulative Sell Volume,Cumulative Ticks,Cumulative Dollar Value,Threshold,VPIN
0,2022-06-01 11:29:18,290,13179.0,13345.0,13022.0,13176.0,3521932.0,1411623.0,2110309.0,290,46549921478.0,3500000,0.19838145654146644
1,2022-06-06 09:15:54,538,13169.0,13230.0,13026.0,13088.0,3556348.0,1773376.0,1782972.0,248,46659256615.0,3500000,0.0026982736222664373
2,2022-06-06 10:57:27,902,13059.0,13218.0,12953.0,13141.0,3516317.0,1688395.0,1827922.0,364,45950983626.0,3500000,0.039679869590824715
3,2022-06-07 09:29:28,1241,13146.0,13146.0,12736.0,12752.0,3512073.0,1646856.0,1865217.0,339,45428396035.0,3500000,0.06217439102205449
4,2022-06-07 10:41:14,1441,12751.0,12822.0,12628.0,12719.0,3556973.0,1982224.0,1574749.0,200,45169697073.0,3500000,0.11455667501552584
5,2022-06-08 09:20:16,1766,12718.0,12760.0,12463.0,12470.0,3508606.0,1961658.0,1546948.0,325,44188959525.0,3500000,0.11819793958056277
6,2022-06-08 10:21:56,1942,12466.0,12607.0,12386.0,12515.0,3503941.0,1729988.0,1773953.0,176,43828665298.0,3500000,0.012547300311278072
7,2022-06-11 09:31:21,2270,12523.0,12547.0,12309.0,12418.0,3529406.0,2046493.0,1482913.0,328,44017753632.0,3500000,0.159681260812726
8,2022-06-11 10:12:57,2442,12411.0,12611.0,12381.0,12557.0,3511893.0,1858918.0,1652975.0,172,44015969883.0,3500000,0.05864159300980981
9,2022-06-11 10:13:00,2512,12562.0,12676.0,12530.0,12657.0,3500000.0,2046216.0,1453784.0,70,44131641072.0,3500000,0.1692662857142857
10,2022-06-11 10:37:32,2653,12663.0,12779.0,12589.0,12771.0,3554382.0,1939712.0,1614670.0,141,45017076064.0,3500000,0.0914482461367405
11,2022-06-11 11:58:00,2881,12762.0,12785.0,12563.0,12624.0,3511551.0,1543091.0,1968460.0,228,44601808882.0,3500000,0.12113422245611696
12,2022-06-12 09:13:08,3156,12629.0,12709.0,12518.0,12622.0,3555535.0,1462005.0,2093530.0,275,44839596812.0,3500000,0.17761743310078512
13,2022-06-12 09:18:21,3243,12631.0,12757.0,12603.0,12671.0,3569029.0,1952725.0,1616304.0,87,45253403526.0,3500000,0.09426121222326857
14,2022-06-12 09:45:33,3407,12671.0,12716.0,12546.0,12560.0,3571655.0,1529894.0,2041761.0,164,45205353579.0,3500000,0.14331367391307392
15,2022-06-12 10:17:10,3612,12550.0,12572.0,12426.0,12552.0,3518616.0,1879449.0,1639167.0,205,43989609781.0,3500000,0.06828878172554209
16,2022-06-12 10:33:18,3758,12549.0,12727.0,12507.0,12719.0,3512561.0,1903578.0,1608983.0,146,44079286523.0,3500000,0.08386900611832791
