AAPL,MSFT,GOOG,AMZN
NaN,NaN,NaN,NaN
-0.009722141151073282,-0.012451747613279829,-0.004907274548951679,-0.012139030209715296
0.007968251379136593,0.002584896791819613,0.02465724095617916,0.014885571978823231
-0.004703024891479224,-0.009117858699924986,-0.0006240523038544277,0.002091619085542451
0.016086369248487387,0.015928302502466574,0.007880388132114113,-0.0078086381211281974
0.02124097746490272,0.012493068088325732,0.011044462328623217,0.004799177424615442
0.00226049966668751,-0.004627023533364305,0.006972707902034525,-0.009410599603600134
0.021364472621563824,0.012024251791764584,0.0066445828711947375,0.0043225749587685325
-0.013503308831250282,-0.007042981302662676,-0.005801754943914217,-0.011558208395110237
-0.004285409215860958,0.0064761744706332,0.005814603681854491,-0.00396912444368358
0.012526417359586484,0.018323366206103753,0.00868538088779025,0.008549908347921242
0.011071013021748621,0.005596674077710473,0.019763064266212993,-0.007039660254119062
-0.0067769407042913565,-0.003590711407253866,0.0027087456317760328,0.014629520785962358
0.0035696649938354863,-0.0048048989068743,0.001044192925839571,-0.0023995455052757686
0.004815692793351811,0.006155860896507992,0.000471025263689695,-0.0015259131157649986
-0.0028820416543047234,-0.01007673652196961,-0.013412626243404668,-0.012172420896854219
-0.02940511661174061,-0.01672319111615661,-0.02236983361251388,-0.017887464623799865
0.02828910912831395,0.019595938289463044,0.013013431899016936,0.01362435870789902
0.020932465116278998,0.015592446647158864,0.004178898060772651,0.0025631081087409413
-0.0014490958806983034,0.028207909034064338,-0.0019127948041878229,0.006824488550603025
-0.044338734417151415,-0.01475875364371837,-0.01484363666336963,0.07379135096728517
-0.0027460680355735345,0.024378695348294066,0.03605411862660479,-0.002250169329229723
0.03301348585356756,0.032916805795801585,-0.026158486594014096,0.02268734679859641
0.008154218120374424,-0.00122155080119013,0.0008016060038562589,-0.004781238048685688
0.011697283735928155,0.020733736345684317,0.019333973461866938,0.005078725605063061
-0.013592976464138817,0.0014158025548647313,0.0020322171743938355,0.014169142413362756
0.004749732899476555,0.026157207414587713,0.019908952092400733,0.026273576226585327
-0.006033524538294643,-0.02257575984064597,7.292467780906087e-5,0.007915028996114293
