Dates,AAPL,MSFT,GOOG,AMZN
2020-06-01,79.359703,179.229675,71.591003,123.552002
2020-06-02,79.727104,181.268707,71.960999,123.620499
2020-06-03,80.165993,181.709824,71.819,123.919998
2020-06-04,79.475601,179.317902,70.609001,123.029999
2020-06-05,81.739136,183.513611,71.919502,124.150002
2020-06-08,82.222412,184.650772,72.330498,126.203003
2020-06-09,84.818832,186.062424,72.807999,130.042999
2020-06-10,87.001015,192.963745,73.292503,132.372498
2020-06-11,82.824059,182.601944,70.192001,127.898003
2020-06-12,83.539124,184.042969,70.658997,127.250999
2020-06-15,84.572266,185.219345,70.9925,128.634003
2020-06-16,86.813614,189.758209,72.136002,130.763504
2020-06-17,86.692802,190.415009,72.556,132.048996
2020-06-18,86.727318,192.45401,71.797997,132.699005
2020-06-19,86.231705,191.307068,71.585999,133.750504
2020-06-22,88.487854,196.620316,72.593002,135.690994
2020-06-23,90.37661,197.93396,73.220497,138.220505
2020-06-24,88.781273,193.944092,71.598503,136.720001
2020-06-25,89.9599,196.394852,72.066498,137.729004
2020-06-26,87.195816,192.463821,67.995003,134.643494
2020-06-29,89.205383,194.532257,69.748497,134.018997
2020-06-30,89.950035,199.502411,70.680496,137.940994
2020-07-01,89.7799,200.668991,71.902,143.934998
2020-07-02,89.7799,202.198273,73.235001,144.514999
2020-07-06,92.181526,206.550827,74.785004,152.852005
2020-07-07,91.8955,204.149109,74.259003,150.005997
2020-07-08,94.035759,208.638885,74.800003,154.055496
2020-07-09,94.44014,210.099548,75.5495,159.1315
2020-07-10,94.605339,209.462372,77.086998,160.0
2020-07-13,94.168915,202.992325,75.567001,155.199997
2020-07-14,95.727264,204.247116,76.028999,154.199997
2020-07-15,96.385605,203.943222,75.681999,150.443497
2020-07-16,95.199585,199.904327,75.900002,149.994995
2020-07-17,95.00724,198.884842,75.777496,148.098495
2020-07-20,97.00943,207.433136,78.286003,159.841995
2020-07-21,95.67054,204.639236,77.920998,156.914505
2020-07-22,95.939308,207.58017,78.4245,154.995499
2020-07-23,91.572495,198.551529,75.783997,149.327499
2020-07-24,91.345642,197.335953,75.593498,150.445496
2020-07-27,93.510567,199.835739,76.510002,152.760498
2020-07-28,91.974403,198.041779,75.016998,150.016495
2020-07-29,93.737411,200.041595,76.100998,151.676498
2020-07-30,94.871643,199.88475,76.572502,152.593994
2020-07-31,104.803635,200.97287,74.148003,158.233994
2020-08-03,107.444435,212.275833,73.722504,155.594498
2020-08-04,108.161964,209.089844,73.248497,156.941498
2020-08-05,108.554024,208.746719,73.680496,160.251495
2020-08-06,112.341385,212.089569,75.004997,161.25
2020-08-07,109.787216,208.295776,74.724503,158.373001
2020-08-10,111.38295,204.149109,74.805,157.408005
2020-08-11,108.070435,199.374985,74.015999,154.033493
2020-08-12,111.662079,205.070587,75.331001,158.112
2020-08-13,113.638222,204.590195,75.922501,158.050995
2020-08-14,113.536949,204.786301,75.386497,157.401001
2020-08-17,113.24054,206.139099,75.899002,159.120499
2020-08-18,114.184143,207.325272,77.93,165.624496
2020-08-19,114.3274,206.067444,77.376503,163.024002
2020-08-20,116.864288,210.86293,79.087502,164.8685
2020-08-21,122.886581,209.329956,79.021004,164.235992
2020-08-24,124.356339,209.988342,79.410004,165.373001
2020-08-25,123.336159,212.720169,80.411003,167.324493
2020-08-26,125.013405,217.319107,82.619003,172.092499
2020-08-27,123.518959,222.65506,81.716499,170.0
2020-08-28,123.318863,224.944702,82.220497,170.089996
2020-08-31,127.50087,221.62326,81.709,172.548004
2020-09-01,132.579559,223.33313,83.0355,174.955994
2020-09-02,129.832718,227.637238,86.414001,176.572495
2020-09-03,119.43821,213.535797,82.092003,168.399994
2020-09-04,119.51725,210.538635,79.552002,164.731003
2020-09-08,111.474342,199.149414,76.619499,157.492004
2020-09-09,115.920677,207.629929,77.848,163.430496
2020-09-10,112.136337,201.812454,76.600998,158.755493
2020-09-11,110.664116,200.495667,76.036003,155.811005
2020-09-14,113.984039,201.851791,75.963997,155.148499
2020-09-15,114.161903,205.163391,77.071999,157.806503
2020-09-16,110.79258,201.498016,76.044998,153.904999
2020-09-17,109.023918,199.395096,74.776497,150.436493
2020-09-18,105.565674,196.918732,72.999496,147.745499
2020-09-21,108.767029,199.031479,71.557999,148.023499
2020-09-22,110.476395,203.826965,73.273003,156.449493
2020-09-23,105.842323,197.115265,70.760498,149.992996
2020-09-24,106.929222,199.670242,71.414497,150.989502
2020-09-25,110.940796,204.220032,72.248001,154.7565
2020-09-28,113.588814,205.811966,73.225998,158.702499
2020-09-29,112.729195,203.669754,73.466499,157.244003
2020-09-30,114.428688,206.686554,73.480003,157.436493
2020-10-01,115.397003,208.779648,74.504501,161.063004
2020-10-02,111.671951,202.618256,72.920998,156.25
2020-10-05,115.110451,206.735703,74.301003,159.960007
2020-10-06,111.810295,202.343124,72.671997,154.998001
2020-10-07,113.70739,206.195206,73.014503,159.7845
2020-10-08,113.598694,206.932236,74.296501,159.527496
2020-10-09,115.574852,212.071609,75.761002,164.332504
2020-10-12,122.916229,217.564804,78.457497,172.1465
2020-10-13,119.655579,218.999496,78.584,172.181503
2020-10-14,119.744514,217.034149,78.403999,168.185501
2020-10-15,119.270241,215.854965,77.956497,166.932495
2020-10-16,117.600388,215.854965,78.650497,163.635498
2020-10-19,114.596664,210.509171,76.730499,160.360504
2020-10-20,116.108406,210.931702,77.796501,160.850494
